,dissimilarity,correlation,homogeneity,contrast,ASM,energy,label
1061,0.011424496882086169,0.12114982898232107,0.9942877515589569,0.011424496882086169,0.9757069711725694,0.987778800603372,no
1062,0.004862395479024943,0.11169254642142243,0.9975688022604876,0.004862395479024943,0.9896879446253086,0.9948306042381708,no
1063,0.031147025905278965,0.3953636464154845,0.9844264870473606,0.031147025905278965,0.9183200010822989,0.9582892200237189,no
1064,0.0006253723573374139,0.2700360169738563,0.9996873138213314,0.0006253723573374139,0.9985184761767985,0.9992589616105214,no
1065,3.995405246818447e-05,-1.9977425325631528e-05,0.9999800229737659,3.995405246818447e-05,0.9999200942895651,0.9999600463466314,no
1066,0.0003292832649501497,0.0831686621242658,0.999835358367525,0.0003292832649501497,0.999311696314691,0.9996557888751183,no
1067,0.000749332677216041,0.06212518386740428,0.9996253336613921,0.000749332677216041,0.9984523355987175,0.9992258679931968,no
1068,0.0703903371244331,0.21141196100075263,0.9648048314377835,0.0703903371244331,0.845213117324156,0.9193546353438506,no
1069,5.430408030239696e-05,0.10413951380353192,0.9999728479598489,5.430408030239696e-05,0.9998850878645219,0.9999425422728562,no
1070,0.0003203790711597545,0.11095089270190808,0.99983981046442,0.0003203790711597545,0.9993194582216088,0.9996596705854366,no
1071,0.005149288702608529,0.0711591863362257,0.9974253556486957,0.005149288702608529,0.9893335176045157,0.9946524599457518,no
1072,0.001167481516719193,0.11305223818306524,0.9994162592416405,0.001167481516719193,0.9975177106637726,0.9987580834521965,no
1073,0.04350675711154721,0.22396683286436334,0.9782466214442265,0.04350675711154721,0.9023209263788523,0.9499055612673405,no
1074,0.0006991988971608183,0.0274280525715661,0.9996504005514195,0.0006991988971608183,0.9985824306059452,0.9992909637670541,no
1075,0.0,1.0,1.0,0.0,1.0,1.0,no
1076,0.0003878348214285714,0.1873060362962092,0.9998060825892856,0.0003878348214285714,0.9991351788084203,0.9995674955249471,no
1077,0.004007316468253969,0.09033425121631133,0.997996341765873,0.004007316468253969,0.9916039322879368,0.9957931118092318,no
1078,0.03813645775543308,0.3114040653735415,0.9809317711222836,0.03813645775543308,0.9079392463515983,0.9528581905797077,no
1079,0.0,1.0,1.0,0.0,1.0,1.0,no
1080,6.994139375172566e-05,0.1249650279054047,0.9999650293031243,6.994139375172566e-05,0.9998501588872937,0.9999250765987568,no
1081,0.0005688053755128739,0.049715512144331175,0.9997155973122436,0.0005688053755128739,0.9988330440107953,0.9994163513232975,no
1082,0.0004692828110806239,0.2756273515045998,0.9997653585944597,0.0004692828110806239,0.9988832895708234,0.9994414878129357,no
1083,0.030272122598878425,0.40634104008952016,0.9848639387005609,0.030272122598878425,0.9196642989770312,0.9589901711294253,no
1084,0.0013998734402357479,0.053353599041481,0.9993000632798822,0.0013998734402357479,0.9971234088727419,0.9985606678359885,no
1085,0.00102421697845805,0.14115425245359187,0.999487891510771,0.00102421697845805,0.997784415595263,0.9988915928215423,no
1086,0.0,1.0,1.0,0.0,1.0,1.0,no
1087,1.7083034443878236e-05,-8.541590180253748e-06,0.9999914584827782,1.7083034443878236e-05,0.9999658343688584,0.999982917038515,no
1088,0.0,1.0,1.0,0.0,1.0,1.0,no
1089,0.008313645825793543,0.2472075706401515,0.9958431770871032,0.008313645825793543,0.9807136258202849,0.9903097744491285,no
1090,0.007369529326203178,0.37258867362797854,0.9963152353368985,0.007369529326203178,0.9809410814817642,0.9904245828715754,no
1091,0.0,1.0,1.0,0.0,1.0,1.0,no
1092,3.62154589705694e-05,0.06248189192075835,0.9999818922705147,3.62154589705694e-05,0.9999251594731645,0.9999625790341876,no
1093,0.0,1.0,1.0,0.0,1.0,1.0,no
1094,0.011023464422280773,0.21849816866012614,0.9944882677888597,0.011023464422280773,0.9749944087814358,0.9874179772923637,no
1095,0.004430397420294417,0.16322008220294848,0.9977848012898529,0.004430397420294417,0.9902952505362204,0.9951357879235032,no
1096,4.007053087973786e-05,-2.003566686185081e-05,0.9999799647345602,4.007053087973786e-05,0.9999198613467243,0.9999599298705504,no
1097,0.0005896454894813357,0.016371755501276192,0.9997051772552594,0.0005896454894813357,0.9988112718806114,0.9994054591542191,no
1098,0.0018297032083845477,0.06541078171518527,0.9990851483958078,0.0018297032083845477,0.9962158590196518,0.998106136124311,no
1099,0.001342297335600907,0.1555783170491117,0.9993288513321996,0.001342297335600907,0.997069931037586,0.9985338900330056,no
1100,0.0,1.0,1.0,0.0,1.0,1.0,no
1101,6.407028983824734e-05,0.06246796376037379,0.9999679648550808,6.407028983824734e-05,0.9998676040677509,0.9999337998355247,no
1102,0.0,1.0,1.0,0.0,1.0,1.0,no
1103,0.0,1.0,1.0,0.0,1.0,1.0,no
1104,0.0,1.0,1.0,0.0,1.0,1.0,no
1105,0.0,1.0,1.0,0.0,1.0,1.0,no
1106,0.0016299491692123717,0.09362873574121837,0.9991850254153939,0.0016299491692123717,0.9965746139710107,0.9982858356027047,no
1107,0.03910942687469536,0.31960542556668636,0.9804452865626524,0.03910942687469536,0.9049448511009588,0.9512855335169201,no
1108,0.0,1.0,1.0,0.0,1.0,1.0,no
1109,1.7083034443878236e-05,-8.541590180253748e-06,0.9999914584827782,1.7083034443878236e-05,0.9999658343688584,0.999982917038515,no
1110,0.007000203727324263,0.1701939290331678,0.9964998981363379,0.007000203727324263,0.9846135209086533,0.9922769254523297,no
1111,0.010070543712571952,0.2809814034128579,0.994964728143714,0.010070543712571952,0.9760280266768897,0.9879411338503112,no
1112,0.0041862325508557705,0.31366246530143316,0.9979068837245721,0.0041862325508557705,0.9897329675085681,0.9948532074832831,no
1113,0.0013627976224719564,0.21364510166725006,0.999318601188764,0.0013627976224719564,0.9966691786153542,0.9983331958811676,no
1114,0.0,1.0,1.0,0.0,1.0,1.0,no
1115,0.02858439196655738,0.23959958425033398,0.9857078040167213,0.02858439196655738,0.934651931667325,0.9667732577057957,no
1116,0.040615962408640946,0.26526308339463284,0.9796920187956797,0.040615962408640946,0.9057705775755396,0.9517186150975925,no
1117,0.029417878696025915,0.23804437333368839,0.9852910606519869,0.029417878696025915,0.9328443792186465,0.9658383852580186,no
1118,0.032496494258154054,0.24648248067943962,0.9837517528709231,0.032496494258154054,0.9254457382547179,0.9620002156519335,no
1119,0.016111751606526493,0.2057983309610301,0.9919441241967368,0.016111751606526493,0.9638615917586144,0.9817645113759597,no
