,0,45,90,135,label
0,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
1,1.0,1.0,1.0,1.0,gl
2,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
3,0.7499923557628005,0.8749932981683213,0.7499923557628005,0.749992340803604,gl
4,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
5,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
6,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
7,1.0,1.0,1.0,1.0,gl
8,1.0,1.0,1.0,1.0,gl
9,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
10,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
11,0.7499923557628005,0.749992340803604,0.7499923557628005,0.749992340803604,gl
12,1.0,1.0,1.0,1.0,gl
13,0.7499847117009086,0.7499846817832025,0.8124856671301216,0.7499846817832025,gl
14,0.8749933112577541,0.749992340803604,0.7499923557628005,0.749992340803604,gl
15,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
16,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
17,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
18,0.7499923557628005,0.749992340803604,0.7499923557628005,0.749992340803604,gl
19,0.8749933112577541,0.749992340803604,0.7499923557628005,0.749992340803604,gl
20,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
21,1.0,1.0,1.0,1.0,gl
22,1.0,1.0,1.0,1.0,gl
23,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
24,1.0,1.0,1.0,1.0,gl
25,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
26,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
27,0.7499961778594868,0.7499961703798027,0.7499961778594868,0.7499961703798027,gl
28,0.8749933112577541,0.749992340803604,0.7499923557628005,0.749992340803604,gl
29,0.7499923557628005,0.749992340803604,0.7499923557628005,0.749992340803604,gl
30,0.749988533709941,0.749988511271404,0.8333228225053577,0.749988511271404,gl
31,0.7499923557628005,0.749992340803604,0.8749933112577541,0.749992340803604,gl
32,1.0,1.0,1.0,1.0,gl
